PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1990,3.46,6.23,8.61,10.67,16.01,20.44,22.21,23.04,19.74,12.92,8.35,5.3,13.12
T2M,1991,2.44,3.88,7.8,13.57,19.05,20.48,22.93,21.4,18.96,12.88,5.39,4.23,12.8
T2M,1992,1.62,5.04,6.16,11.3,14.99,18.99,22.51,20.64,18.82,11.65,6.96,2.12,11.75
T2M,1993,3.62,1.28,4.62,9.94,16.53,21.09,25.83,23.48,19.44,12.58,6.84,1.35,12.29
T2M,1994,-1.89,3.69,6.85,13.52,14.68,21.48,21.54,21.19,17.66,12.6,9.25,4.69,12.14
T2M,1995,2.06,1.52,8.56,12.53,17.02,19.94,24.18,24.51,18.94,12.8,4.33,0.37,12.3
T2M,1996,-0.35,1.24,3.93,10.13,17.74,20.64,21.67,21.83,17.97,12.69,4.73,3.97,11.38
T2M,1997,1.11,5.06,9.74,9.6,14.32,19,23.05,21.62,19.74,12.85,4.55,1.94,11.92
T2M,1998,3.44,3.61,5.86,11.71,18.6,21.72,22.79,22.9,22.21,15.06,9.08,4.94,13.55
T2M,1999,3.65,4.32,4.19,13.67,16.23,20.24,23.4,23.12,19.33,12.87,9.36,3.37,12.85
T2M,2000,1.1,4.45,9.16,10.78,17.73,20.98,22.55,22.44,18.95,14.48,6.03,-1.61,12.27
T2M,2001,0.1,5.3,4.7,13.32,16.91,19.82,22.5,21.96,17.4,11.64,10.55,5.25,12.48
T2M,2002,2.9,2.67,7.73,13.69,16.01,21.23,23.83,23.69,20.88,14.84,5.68,1.45,12.94
T2M,2003,-1.26,2.82,9.01,12.89,17.08,19.29,21.68,22.62,17.9,12.37,10.01,1.02,12.16
T2M,2004,0.81,2.14,8.98,11.78,18.73,20.83,22.47,21.11,18.62,14.99,9.46,2.4,12.73
T2M,2005,3.69,3.96,5.75,11.87,15.24,20.65,23.06,23.4,20.65,13.95,8.61,0.25,12.63
T2M,2006,4.87,1.57,7.06,14.39,16.25,20.51,23.45,24.37,17.41,11.29,7.13,5.1,12.85
T2M,2007,2.9,0.48,10.32,10.38,18.01,22.3,22.08,25.87,21.07,15.75,6.97,5.8,13.58
T2M,2008,0.8,4.37,7.48,12.2,16.01,22.33,22.9,22.56,19.62,12.83,5.57,4.3,12.6
T2M,2009,0.83,2.56,8.14,11.8,16.87,21.62,20.34,21.4,18.98,12.13,8.25,1.14,12.05
