id,name,north,south,east,west,Location Lat,Location Long
1,"Albion, Mendocino Co., California, Usa",39.2408,39.2153,-123.738,-123.778,39.22805,-123.758
2,"Burbank, Los Angeles Co., California, Usa",34.2217,34.1424,-118.28,-118.37,34.18205,-118.325
3,"Mitrula Marsh, Tahoe National Forest, Sierra Co., California, Usa",39.6272,39.6226,-120.614,-120.62,39.6249,-120.617
4,"Salt Point State Park, Sonoma Co., California, Usa",38.5923,38.5584,-123.283,-123.343,38.57535,-123.313
5,"Gualala, Mendocino Co., California, Usa",38.7868,38.7597,-123.519,-123.557,38.77325,-123.538
7,"Brett Woods, Fairfield Co., Connecticut, Usa",41.2125,41.1939,-73.3215,-73.3295,41.2032,-73.3255
8,"Point Reyes National Seashore, Marin Co., California, Usa",38.2441,37.9255,-122.709,-123.026,38.0848,-122.8675
9,"Howarth Park, Santa Rosa, Sonoma Co., California, Usa",38.4582,38.4496,-122.663,-122.671,38.4539,-122.667
11,"Petaluma, Sonoma Co., California, Usa",38.2988,38.2051,-122.567,-122.683,38.25195,-122.625
12,"Buttonwood, South Key Largo, Monroe Co., Florida, Usa",25.0667,25.0576,-80.4722,-80.4801,25.06215,-80.47615
13,"Dove Creek Hammock, South Key Largo, Monroe Co., Florida, Usa",25.0388,25.0297,-80.496,-80.5059,25.03425,-80.50095
14,"Port Bougainvillea, North Key Largo, Monroe Co., Florida, Usa",25.1811,25.1735,-80.3614,-80.3662,25.1773,-80.3638
15,"Indian Key, Florida, Usa",24.88,24.8772,-80.6759,-80.6782,24.8786,-80.67705
16,"Big Pine Key, Monroe Co., Florida, Usa",24.7453,24.6368,-81.3282,-81.4013,24.69105,-81.36475
17,"No Name Key, Monroe Co., Florida, Usa",24.7067,24.6739,-81.3117,-81.3432,24.6903,-81.32745
18,"Moran State Park, San Juan Co., Washington, Usa",48.6886,48.6445,-122.792,-122.863,48.66655,-122.8275
19,"Clinton, Whidbey Island, Island Co., Washington, Usa",47.9975,47.9539,-122.328,-122.369,47.9757,-122.3485
20,"Cabin Cove, Haywood Co., North Carolina, Usa",35.6627,35.6462,-83.0384,-83.0598,35.65445,-83.0491
21,"Novato, Marin Co., California, Usa",38.1478,38.0394,-122.481,-122.624,38.0936,-122.5525
22,"Nags Head, North Carolina, Usa",36.0676,35.8445,-75.5579,-75.7014,35.95605,-75.62965
23,"Whitemarsh, Virginia, Usa",37.3472,37.3437,-76.5363,-76.5458,37.34545,-76.54105
24,"Madison Heights, Pasadena, Los Angeles Co., California, Usa",34.1359,34.1277,-118.132,-118.141,34.1318,-118.1365
25,"Los Trancos Preserve, Palo Alto, Santa Clara Co., California, Usa",37.3343,37.326,-122.174,-122.186,37.33015,-122.18
26,"South Lake Tahoe, California, Usa",38.9363,38.8031,-119.921,-120.138,38.8697,-120.0295
27,"Bassetts, Sierra Co., California, Usa",39.6395,39.5925,-120.526,-120.643,39.616,-120.5845
28,"Mar Vista, Los Angeles, Los Angeles Co., California, Usa",34.0285,34.0023,-118.419,-118.449,34.0154,-118.434
29,"Pipi Valley, El Dorado Co., California, Usa",38.6428,38.4828,-120.251,-120.471,38.5628,-120.361
30,"Natural History Museum Of Los Angeles Co., Los Angeles, Los Angeles Co., California, Usa",34.0183,34.0156,-118.287,-118.29,34.01695,-118.2885
