Year,Location,Value
2014,Alabama,56.03
2014,Arizona,11.07
2014,Arkansas,47.91
2014,California,19.9
2014,Colorado,19.14
2014,Connecticut,45.01
2014,Delaware,45
2014,Florida,59.13
2014,Georgia,51.41
2014,Idaho,26.47
2014,Illinois,41.29
2014,Indiana,43.57
2014,Iowa,38.69
2014,Kansas,25.43
2014,Kentucky,47.11
2014,Louisiana,55.94
2014,Maine,49.45
2014,Maryland,44.76
2014,Massachusetts,50.1
2014,Michigan,36.66
2014,Minnesota,29.12
2014,Mississippi,58.22
2014,Missouri,39.32
2014,Montana,21.6
2014,Nebraska,24.98
2014,Nevada,9.92
2014,New Hampshire,49.64
2014,New Jersey,48.95
2014,New Mexico,13.2
2014,New York,43.22
2014,North Carolina,50.08
2014,North Dakota,18.61
2014,Ohio,38.56
2014,Oklahoma,28.87
2014,Oregon,35.29
2014,Pennsylvania,42.43
2014,Rhode Island,47.24
2014,South Carolina,47.03
2014,South Dakota,20.19
2014,Tennessee,53.52
2014,Texas,24.01
2014,Utah,13.33
2014,Vermont,46.08
2014,Virginia,43.75
2014,Washington,48.8
2014,West Virginia,42.79
2014,Wisconsin,37.08
2014,Wyoming,18.1
