Year,Location,Precip
2015,Alabama,61.36
2015,Arizona,14.39
2015,Arkansas,67.31
2015,California,15.04
2015,Colorado,21.73
2015,Connecticut,37.08
2015,Delaware,46.27
2015,Florida,52.86
2015,Georgia,55.74
2015,Idaho,22.52
2015,Illinois,48.8
2015,Indiana,47.51
2015,Iowa,42.53
2015,Kansas,32.78
2015,Kentucky,58.31
2015,Louisiana,67.31
2015,Maine,43.16
2015,Maryland,46.86
2015,Massachusetts,41.39
2015,Michigan,31.74
2015,Minnesota,29.46
2015,Mississippi,60.57
2015,Missouri,55.52
2015,Montana,16.88
2015,Nebraska,28.07
2015,Nevada,11.34
2015,New Hampshire,44.01
2015,New Jersey,43.86
2015,New Mexico,19.33
2015,New York,40.64
2015,North Carolina,58.32
2015,North Dakota,17.72
2015,Ohio,43.01
2015,Oklahoma,53.72
2015,Oregon,30.17
2015,Pennsylvania,43.1
2015,Rhode Island,40.88
2015,South Carolina,60.66
2015,South Dakota,22.78
2015,Tennessee,59.16
2015,Texas,41.23
2015,Utah,15.41
2015,Vermont,42.44
2015,Virginia,49.76
2015,Washington,43.25
2015,West Virginia,48.62
2015,Wisconsin,35.88
2015,Wyoming,16.71
