Year,Location,Value
2015,AL,64.6167
2015,AR,61.75
2015,AZ,61.4
2015,CA,60.7583
2015,CO,47.4417
2015,CT,49.8417
2015,DE,56.4167
2015,FL,73.3583
2015,GA,65.3083
2015,IA,46.375
2015,ID,52.875
2015,IL,52.3083
2015,IN,49.2667
2015,KS,56.3
2015,KY,56.5667
2015,LA,68.0917
2015,MA,41.225
2015,MD,55.4417
2015,ME,48.4583
2015,MI,45.1083
2015,MN,43.4917
2015,MO,65.2917
2015,MS,55.8417
2015,MT,44.8583
2015,NC,50.8083
2015,ND,52.8917
2015,NE,43.6167
2015,NH,53.8667
2015,NJ,54.9417
2015,NM,45.6917
2015,NV,60.5167
2015,NY,43.375
2015,OH,51.6167
2015,OK,60.825
2015,OR,50.3583
2015,PA,49.4583
2015,RI,50.4333
2015,SC,64.4917
2015,SD,47.5333
2015,TN,59.0333
2015,TX,65.8
2015,UT,50.7333
2015,VA,42.6333
2015,VT,56.5333
2015,WA,49.975
2015,WI,53.1417
2015,WV,44.8167
2015,WY,44.1583
