Year ,Location,Temp
2018,AL,64.45
2018,AR,62.2667
2018,AZ,61.1667
2018,CA,60.125
2018,CO,47.1667
2018,CT,50.7583
2018,DE,57.1417
2018,FL,72.275
2018,GA,65.0833
2018,IA,44.525
2018,ID,52.475
2018,IL,52.5917
2018,IN,47.4917
2018,KS,54.6
2018,KY,56.9583
2018,LA,67.775
2018,MA,41.7667
2018,MD,55.925
2018,ME,49.475
2018,MI,45.1083
2018,MN,40.5917
2018,MO,64.775
2018,MS,55.2
2018,MT,41.275
2018,NC,48.2583
2018,ND,52.0083
2018,NE,44.45
2018,NH,54.175
2018,NJ,55.5083
2018,NM,46.1917
2018,NV,60.4333
2018,NY,39.7917
2018,OH,52.1917
2018,OK,60.2
2018,OR,48.4417
2018,PA,49.7583
2018,RI,51.5583
2018,SC,64.25
2018,SD,44.1333
2018,TN,59.075
2018,TX,66
2018,UT,50.4
2018,VA,43.2167
2018,VT,56.5667
2018,WA,48.05
2018,WI,53.3
2018,WV,43.2083
2018,WY,42.4083
